id,require_grads,x1,x2,op_type,op_attr,x1_shape,x1_hidden,x2_shape,x2_hidden,grad_of,extra_attr
x,N,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,,,,
x_ag,N,x,,I,,"Batch/dp, (Seq/cp)/1, Dmodel",1,,,,
wqk,Y,,,T,,"Dmodel, LHeadDim, 2*LKHead/tp",1,,,,
wv,Y,,,T,,"Dmodel, LHeadDim, LVHead/tp",1,,,,
wo,Y,,,T,,"LHeadDim, LVHead/tp, Dmodel",1,,,,
qk,N,x_ag,wqk,M,"bsm,mnh->bsnh","Batch/dp, (Seq/cp)/1, Dmodel",1,"Dmodel, LHeadDim, 2*LKHead/tp",1,,
q,N,qk,,SLICE,"3:LKHead/tp","Batch/dp, (Seq/cp)/1, LHeadDim, 2*LKHead/tp",1,,,,
k,N,qk,,SLICE,"3:LKHead/tp","Batch/dp, (Seq/cp)/1, LHeadDim, 2*LKHead/tp",1,,,,
q_conv,N,q,,CUSTOM,"Batch/dp*Seq/cp*LKHead/tp*LHeadDim*ConvKernel","Batch/dp, (Seq/cp)/1, LHeadDim, LKHead/tp",1,"Batch/dp, (Seq/cp)/1, LHeadDim, LKHead/tp",1,,
k_conv,N,k,,CUSTOM,"Batch/dp*Seq/cp*LKHead/tp*LHeadDim*ConvKernel","Batch/dp, (Seq/cp)/1, LHeadDim, LKHead/tp",1,"Batch/dp, (Seq/cp)/1, LHeadDim, LKHead/tp",1,,
v,N,x_ag,wv,M,"bsm,mnh->bsnh","Batch/dp, (Seq/cp)/1, Dmodel",1,"Dmodel, LHeadDim, LVHead/tp",1,,
attn,N,,,T,,"Batch/dp, (Seq/cp)/1, LHeadDim, LVHead/tp",1,,,,
o1,N,attn,wo,M,"bsmh,mhn->bsn","Batch/dp, (Seq/cp)/1, LHeadDim, LVHead/tp",1,"LHeadDim, LVHead/tp, Dmodel",1,,
o,N,o1,,I,,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,,,,
do,N,,,T,,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,,,o,
do1,N,do,,I,,"Batch/dp, (Seq/cp)/1, Dmodel",1,,,o1,
dattn,N,do1,wo,M,"bsn,mhn->bsmh","Batch/dp, (Seq/cp)/1, Dmodel",1,"LHeadDim, LVHead/tp, Dmodel",1,,
dwo,N,do1,attn,M,"bsn,bsmh->mhn","Batch/dp, (Seq/cp)/1, Dmodel",1,"Batch/dp, (Seq/cp)/1, LHeadDim, LVHead/tp",1,wo,
dq_conv,N,,,T,,"Batch/dp, (Seq/cp)/1, LHeadDim, LKHead/tp",1,,,q_conv,
dk_conv,N,,,T,,"Batch/dp, (Seq/cp)/1, LHeadDim, LKHead/tp",1,,,k_conv,
dv,N,,,T,,"Batch/dp, (Seq/cp)/1, LHeadDim, LVHead/tp",1,,,v,
dq,N,dq_conv,,CUSTOM,"Batch/dp*Seq/cp*LKHead/tp*LHeadDim*ConvKernel","Batch/dp, (Seq/cp)/1, LHeadDim, LKHead/tp",1,"Batch/dp, (Seq/cp)/1, LHeadDim, LKHead/tp",1,q,
dk,N,dk_conv,,CUSTOM,"Batch/dp*Seq/cp*LKHead/tp*LHeadDim*ConvKernel","Batch/dp, (Seq/cp)/1, LHeadDim, LKHead/tp",1,"Batch/dp, (Seq/cp)/1, LHeadDim, LKHead/tp",1,k,
dqk,N,dk,dq,SLICE,"3:2*LKHead/tp","Batch/dp, (Seq/cp)/1, LHeadDim, LKHead/tp",1,"Batch/dp, (Seq/cp)/1, LHeadDim, LKHead/tp",1,qk,
dwqk,N,dqk,x_ag,M,"bsnh,bsm->mnh","Batch/dp, (Seq/cp)/1, LHeadDim, 2*LKHead/tp",1,"Batch/dp, (Seq/cp)/1, Dmodel",1,wqk,
dx_qk,N,dqk,wqk,M,"bsnh,mnh->bsm","Batch/dp, (Seq/cp)/1, LHeadDim, 2*LKHead/tp",1,"Dmodel, LHeadDim, 2*LKHead/tp",1,,
dwv,N,dv,x_ag,M,"bsnh,bsm->mnh","Batch/dp, (Seq/cp)/1, LHeadDim, LVHead/tp",1,"Batch/dp, (Seq/cp)/1, Dmodel",1,wv,
dx_v,N,dv,wv,M,"bsnh,mnh->bsm","Batch/dp, (Seq/cp)/1, LHeadDim, LVHead/tp",1,"Dmodel, LHeadDim, LVHead/tp",1,,
dx_ag,N,dx_qk,dx_v,A,,"Batch/dp, (Seq/cp)/1, Dmodel",1,"Batch/dp, (Seq/cp)/1, Dmodel",1,,
dx,N,dx_ag,,I,,"Batch/dp, (Seq/cp)/tp, Dmodel/1",1,,,,
